Gene	Adj. R Squared	Slope	p-value
rno-miR-320-3p	0.178575531	0.051338057	0.09535353
rno-miR-483-3p	0.177119068	0.044776038	0.096365136
rno-miR-328b-3p	0.176537957	0.03935735	0.096771504
rno-miR-3596d	0.176164002	0.040606136	0.097033842
rno-miR-1249	0.17224923	0.578632567	0.099819765
rno-miR-671	0.170053734	0.036935341	0.101414303
rno-miR-339-3p	0.168233859	0.017278193	0.102753854
rno-miR-133a-3p	0.167341444	0.07019235	0.103416699
rno-miR-1-3p	0.164425298	0.037352232	0.10561042
rno-miR-3558-5p	0.163500272	0.052885886	0.106315257
rno-miR-3585-3p	0.162673118	0.073133224	0.106949219
rno-miR-672-5p	0.161507581	0.037992987	0.107848497
rno-miR-27b-3p	0.158518394	-2.268214619	0.110187102
rno-miR-363-3p	0.157733673	0.030766345	0.110808817
rno-miR-295-5p	0.156885769	0.040413797	0.11148427
rno-miR-466b-5p	0.15516856	0.111496255	0.112864018
rno-miR-3596c	0.153762404	0.129305457	0.114005712
rno-miR-3577	0.145604288	0.022994526	0.120846065
rno-miR-496-3p	0.142407979	-0.153364048	0.1236299
rno-miR-673-5p	0.139164293	0.018204814	0.126516861
rno-miR-7a-5p	0.138844455	11.12567592	0.126804955
rno-miR-122-5p	0.136365497	0.025000752	0.129059066
rno-miR-30d-5p	0.133833075	0.498827534	0.131401054
rno-miR-412-3p	0.131954837	0.014846126	0.133164114
rno-miR-547-3p	0.131635505	0.04086581	0.133466097
rno-miR-28-5p	0.131033353	0.068267127	0.134037313
rno-miR-3590-5p	0.130879591	0.119072616	0.134183548
rno-miR-92b-3p	0.130191786	0.161637884	0.134839554
rno-miR-3575	0.129887665	0.050606447	0.135130589
rno-miR-3586-3p	0.129128124	0.045722271	0.135860073
rno-miR-615	0.127157275	0.02427617	0.137770537
rno-miR-301a-3p	0.125934223	0.460838796	0.138969021
rno-miR-449a-5p	0.125509031	0.064030185	0.139388009
rno-miR-3561-5p	0.124548172	0.027810649	0.140339316
rno-miR-210-3p	0.12429228	0.126708913	0.140593713
rno-miR-490-3p	0.123596642	0.049162997	0.141287528
rno-miR-425-5p	0.121951488	-0.168109064	0.142941492
rno-miR-217-5p	0.120926857	0.016815178	0.14398101
rno-miR-328a-3p	0.120814219	1.179820769	0.144095728
rno-miR-872-5p	0.120754035	-0.267568091	0.14415706
rno-let-7f-5p	0.109679663	-0.75901463	0.15588302
rno-miR-345-5p	0.107527411	0.258331913	0.158267117
rno-miR-30a-5p	0.105101838	0.29245389	0.160996706
rno-miR-139-3p	0.104270384	0.123949339	0.161942942
rno-miR-291a-5p	0.103895532	0.021950553	0.162371324
rno-miR-201-5p	0.099693283	0.043151101	0.167250556
rno-miR-3569	0.097067504	0.045551548	0.170372411
rno-miR-17-2-3p	0.096098572	-0.023564185	0.171538891
rno-miR-323-3p	0.093867132	-0.606614922	0.174255475
rno-miR-336-5p	0.091798144	0.027667437	0.176812443
rno-miR-291b	0.089912438	0.0260742	0.179175429
rno-miR-504	0.087796052	0.065094192	0.18186505
rno-miR-200a-3p	0.086816278	0.031459175	0.183123845
rno-miR-34c-5p	0.085889044	0.353810724	0.184323179
rno-miR-142-3p	0.082518008	0.351494763	0.188750349
rno-miR-324-3p	0.08248043	0.089610312	0.188800298
rno-miR-3572	0.081772703	0.015622316	0.189743522
rno-miR-487b-3p	0.081758259	-2.048835532	0.189762821
rno-miR-702-5p	0.081616157	0.01630883	0.189952799
rno-miR-335	0.077654003	-3.417648794	0.195328029
rno-miR-127-3p	0.075869937	1.94001154	0.197798492
rno-miR-3560	0.074203585	0.022690706	0.200134675
rno-miR-770-5p	0.073699212	0.018327926	0.200847325
