Target	# of miRNAs leading to upregulation	# of miRNAs leading to downregulation	Total Impact
SDCCAG3	0	-1	-1
SDF2	1	-1	0
SDF4	0	-1	-1
SDHAF2	1	-1	0
SDHD	1	0	1
SDK1	1	-4	-3
SDPR	2	-1	1
SDR39U1	0	-1	-1
SEC11C	0	-1	-1
SEC14L1	0	-3	-3
SEC14L2	1	-2	-1
SEC14L3	1	0	1
SEC14L5	1	-1	0
SEC16A	0	-5	-5
SEC16B	0	-4	-4
SEC22A	1	-4	-3
SEC22C	0	-4	-4
SEC23A	0	-1	-1
SEC23IP	1	-1	0
SEC24A	1	-6	-5
SEC24B	0	-1	-1
SEC24D	1	-2	-1
SEC31B	1	-1	0
SEC61A1	1	-2	-1
SEC61B	2	0	2
SEC62	0	-3	-3
SEC63	0	-4	-4
SECISBP2	0	-1	-1
SECISBP2L	2	-2	0
SEH1L	0	-3	-3
SEL1L	1	-2	-1
SEL1L3	0	-2	-2
SELK	3	0	3
SELP	0	-1	-1
SELPLG	1	0	1
SELT	3	0	3
SEMA3A	1	-2	-1
SEMA3C	1	-1	0
SEMA3D	1	-1	0
SEMA3G	1	-1	0
SEMA4B	0	-1	-1
SEMA4C	0	-2	-2
SEMA4F	0	-3	-3
SEMA4G	1	-4	-3
SEMA5A	1	-2	-1
SEMA6A	0	-6	-6
SEMA6B	0	-1	-1
SEMA6D	1	-4	-3
SEMA7A	1	-4	-3
SENP1	0	-5	-5
SENP2	0	-3	-3
SENP3	0	-2	-2
SENP5	3	-2	1
SENP6	0	-1	-1
SENP7	0	-2	-2
SENP8	0	-2	-2
SEP15	0	-1	-1
SEPHS1	1	-4	-3
SEPHS2	1	-1	0
SEPN1	2	0	2
SEPSECS	1	0	1
SEPT11	0	-4	-4
SEPT2	0	-3	-3
SEPT3	1	-2	-1
SEPT4	1	-1	0
SEPT5	0	-1	-1
SEPT6	1	-2	-1
SEPT7	0	-2	-2
SEPT8	1	0	1
SEPT9	0	-1	-1
SERBP1	1	-3	-2
SERINC3	0	-4	-4
SERINC4	0	-1	-1
SERINC5	0	-3	-3
SERP1	2	-4	-2
SERPINA4	1	-1	0
SERPINA5	1	0	1
SERPINB2	1	0	1
SERPINB7	0	-1	-1
SERPINB8	0	-2	-2
SERPIND1	0	-1	-1
SERPINF1	0	-1	-1
SERPING1	1	0	1
SERPINH1	1	-1	0
SERPINI1	0	-1	-1
SERTAD2	0	-3	-3
SERTAD3	0	-1	-1
SERTAD4	2	-4	-2
SERTM1	1	-2	-1
SESN1	1	-1	0
SESN2	0	-1	-1
SESN3	3	-10	-7
SESTD1	2	-5	-3
SET	0	-1	-1
SETBP1	1	-4	-3
SETD1A	1	0	1
SETD1B	1	-5	-4
SETD2	1	0	1
SETD3	1	-3	-2
SETD5	0	-4	-4
SETD6	0	-1	-1
SETD7	1	-5	-4
SETD8	1	-1	0
SETD9	0	-2	-2
SETDB1	0	-2	-2
SETDB2	1	-2	-1
SEZ6	0	-1	-1
SEZ6L	1	0	1
SEZ6L2	1	-2	-1
SF1	1	-4	-3
SF3A1	0	-1	-1
SF3B1	3	0	3
SF3B3	0	-1	-1
SF3B4	1	0	1
SFMBT1	0	-6	-6
SFMBT2	0	-7	-7
SFPQ	1	-3	-2
SFRP1	0	-1	-1
SFRP5	1	0	1
SFSWAP	0	-1	-1
SFT2D2	2	-1	1
SFT2D3	0	-2	-2
SFXN1	0	-2	-2
SFXN2	1	-1	0
SFXN5	2	-2	0
SGCB	0	-1	-1
SGCD	3	-4	-1
SGCE	1	-1	0
SGCG	0	-2	-2
SGCZ	0	-1	-1
SGIP1	0	-1	-1
SGK1	2	-2	0
SGK3	0	-3	-3
SGK494	0	-1	-1
SGMS1	1	-1	0
SGMS2	3	-4	-1
SGOL1	0	-1	-1
SGPL1	1	-1	0
SGPP1	2	-1	1
SGPP2	0	-1	-1
SGSH	1	0	1
SGSM1	2	-1	1
SGSM2	0	-1	-1
SGTA	0	-1	-1
SGTB	1	-1	0
SH2B1	1	0	1
SH2B3	2	-3	-1
SH2D1A	1	0	1
SH2D2A	0	-1	-1
SH2D3C	0	-1	-1
SH2D4A	1	0	1
SH2D4B	0	-1	-1
SH2D5	0	-1	-1
SH3BGRL	1	0	1
SH3BGRL2	1	-2	-1
SH3BP1	1	0	1
SH3BP4	0	-3	-3
SH3BP5	0	-4	-4
SH3BP5L	1	-2	-1
SH3D19	0	-2	-2
SH3GL1	0	-1	-1
SH3GL2	1	-2	-1
SH3GLB1	1	-4	-3
SH3GLB2	1	0	1
SH3KBP1	2	-3	-1
SH3PXD2A	2	-7	-5
SH3PXD2B	0	-2	-2
SH3RF1	0	-3	-3
SH3RF2	1	0	1
SH3RF3	1	-3	-2
SH3TC2	1	-3	-2
SH3YL1	0	-1	-1
SHANK2	2	-9	-7
SHANK3	1	-2	-1
SHB	0	-4	-4
SHC3	2	-4	-2
SHC4	2	-3	-1
SHE	1	0	1
SHF	1	-1	0
SHH	1	-3	-2
SHISA4	1	-1	0
SHISA5	1	0	1
SHISA6	1	-3	-2
SHISA7	0	-1	-1
SHISA9	1	-3	-2
SHMT2	0	-2	-2
SHOC2	0	-2	-2
SHOX2	1	-1	0
SHPK	2	-2	0
SHPRH	0	-2	-2
SHQ1	0	-1	-1
SHROOM1	1	0	1
SHROOM2	2	-2	0
SHROOM4	2	-3	-1
SIAE	0	-1	-1
SIAH1	1	-1	0
SIAH3	0	-1	-1
SIDT1	2	-2	0
SIDT2	0	-2	-2
SIGLEC1	0	-1	-1
SIGMAR1	0	-1	-1
SIK1	0	-5	-5
SIK2	2	-7	-5
SIKE1	2	-2	0
SIM1	1	-1	0
SIMC1	1	0	1
SIN3A	1	-2	-1
SIPA1	0	-1	-1
SIPA1L2	0	-4	-4
SIPA1L3	0	-3	-3
SIRPA	1	-1	0
SIRT1	2	-2	0
SIRT2	1	0	1
SIRT3	0	-1	-1
SIRT5	0	-2	-2
SIRT7	1	-1	0
SIT1	0	-1	-1
SIVA1	1	0	1
SIX1	1	-3	-2
SIX4	2	-4	-2
SIX5	1	0	1
SIX6	0	-3	-3
SKAP1	0	-1	-1
SKAP2	0	-3	-3
SKI	0	-7	-7
SKIDA1	0	-1	-1
SKIL	1	-2	-1
SKOR1	0	-3	-3
SKP1	0	-2	-2
SKP2	0	-1	-1
SLA2	1	0	1
SLAIN1	1	-3	-2
SLAIN2	2	-4	-2
SLAMF1	1	0	1
SLAMF6	0	-2	-2
SLAMF7	1	0	1
SLAMF8	0	-1	-1
SLAMF9	0	-1	-1
SLBP	0	-1	-1
SLC10A1	1	-1	0
SLC10A2	2	-2	0
SLC10A7	1	-4	-3
SLC11A1	0	-2	-2
SLC12A1	1	0	1
SLC12A2	0	-3	-3
SLC12A3	0	-1	-1
SLC12A5	0	-3	-3
SLC12A6	1	-6	-5
SLC12A7	0	-3	-3
SLC12A8	1	-2	-1
SLC12A9	0	-1	-1
SLC13A1	1	0	1
SLC13A2	0	-1	-1
SLC13A4	0	-1	-1
SLC13A5	2	0	2
SLC14A1	0	-1	-1
SLC15A1	1	0	1
SLC15A2	1	0	1
SLC16A1	1	-2	-1
SLC16A10	1	-2	-1
SLC16A12	1	-2	-1
SLC16A13	0	-1	-1
SLC16A14	1	-3	-2
SLC16A2	1	-2	-1
SLC16A3	0	-1	-1
SLC16A4	1	-1	0
SLC16A6	0	-1	-1
SLC16A7	2	-2	0
SLC16A9	2	-2	0
SLC17A1	0	-1	-1
SLC17A4	1	0	1
SLC17A5	0	-1	-1
SLC17A6	0	-1	-1
SLC17A7	1	-2	-1
SLC17A8	0	-1	-1
SLC17A9	0	-1	-1
SLC18A2	2	-2	0
SLC1A1	1	0	1
SLC1A2	2	-3	-1
SLC1A3	0	-1	-1
SLC1A4	1	0	1
SLC1A5	0	-2	-2
SLC20A1	0	-3	-3
SLC20A2	1	-1	0
SLC22A1	1	-1	0
SLC22A12	1	0	1
SLC22A14	0	-1	-1
SLC22A15	0	-2	-2
SLC22A18AS	2	-1	1
SLC22A2	0	-1	-1
SLC22A23	2	-8	-6
SLC22A24	1	0	1
SLC22A3	0	-1	-1
SLC22A5	0	-1	-1
SLC22A7	1	0	1
SLC22A9	1	0	1
SLC23A2	1	-3	-2
SLC23A3	2	0	2
SLC24A2	3	-6	-3
SLC24A3	0	-4	-4
SLC24A4	2	-5	-3
SLC25A10	0	-1	-1
SLC25A11	0	-1	-1
SLC25A15	0	-1	-1
SLC25A16	0	-1	-1
SLC25A18	1	-1	0
SLC25A21	1	0	1
SLC25A21-AS1	0	-1	-1
SLC25A22	0	-2	-2
SLC25A23	1	-2	-1
SLC25A24	2	-3	-1
SLC25A25	1	0	1
SLC25A26	0	-1	-1
SLC25A27	0	-1	-1
SLC25A29	0	-3	-3
SLC25A3	0	-2	-2
SLC25A32	1	-3	-2
SLC25A36	1	-2	-1
SLC25A37	2	-2	0
SLC25A39	1	0	1
SLC25A4	1	-1	0
SLC25A40	1	-1	0
SLC25A42	0	-2	-2
SLC25A44	0	-2	-2
SLC25A46	0	-2	-2
SLC25A5	0	-1	-1
SLC25A51	0	-3	-3
SLC25A53	1	-1	0
SLC26A1	0	-1	-1
SLC26A11	0	-2	-2
SLC26A2	1	-1	0
SLC26A3	1	0	1
SLC26A4	0	-1	-1
SLC26A5	0	-1	-1
SLC26A7	1	0	1
SLC26A9	1	-2	-1
SLC27A4	2	0	2
SLC29A3	0	-2	-2
SLC29A4	0	-1	-1
SLC2A1	1	-4	-3
SLC2A10	0	-1	-1
SLC2A12	2	-3	-1
SLC2A2	1	0	1
SLC2A3	1	-1	0
SLC2A4	0	-3	-3
SLC2A4RG	1	-1	0
SLC2A8	0	-1	-1
SLC30A1	1	-6	-5
SLC30A10	1	-3	-2
SLC30A2	1	0	1
SLC30A3	1	-2	-1
SLC30A4	0	-2	-2
SLC30A5	0	-1	-1
SLC30A6	1	-3	-2
SLC30A7	3	-4	-1
SLC30A8	1	-1	0
SLC31A1	0	-6	-6
SLC33A1	1	0	1
SLC35A1	0	-2	-2
SLC35A3	1	-3	-2
SLC35A4	0	-2	-2
SLC35A5	0	-1	-1
SLC35B2	1	-1	0
SLC35C1	0	-2	-2
SLC35C2	2	-3	-1
SLC35D1	0	-1	-1
SLC35D2	0	-1	-1
SLC35D3	2	-1	1
SLC35E2	0	-2	-2
SLC35E2B	0	-2	-2
SLC35E3	1	0	1
SLC35F1	1	-3	-2
SLC35F2	1	-1	0
SLC35F3	0	-3	-3
SLC35G1	0	-2	-2
SLC35G2	0	-1	-1
SLC36A1	1	-3	-2
SLC37A1	0	-1	-1
SLC37A2	0	-1	-1
SLC37A3	1	0	1
SLC38A1	1	-3	-2
SLC38A11	1	-1	0
SLC38A2	0	-1	-1
SLC38A4	1	-2	-1
SLC38A7	0	-1	-1
SLC38A9	0	-2	-2
SLC39A1	1	-1	0
SLC39A11	0	-2	-2
SLC39A13	0	-3	-3
SLC39A14	1	-1	0
SLC39A5	1	0	1
SLC39A6	1	-1	0
SLC39A7	1	0	1
SLC39A9	1	-3	-2
SLC3A1	1	0	1
SLC3A2	1	0	1
SLC40A1	1	-1	0
SLC41A1	2	-1	1
SLC41A2	0	-1	-1
SLC43A1	1	-1	0
SLC43A2	1	-4	-3
SLC44A1	1	-10	-9
SLC45A3	1	-2	-1
SLC45A4	1	-2	-1
SLC46A1	1	0	1
SLC46A3	0	-1	-1
SLC4A1	1	0	1
SLC4A4	2	-3	-1
SLC4A5	1	0	1
SLC4A7	1	-4	-3
SLC4A8	1	-2	-1
SLC50A1	1	0	1
SLC52A2	1	0	1
SLC5A10	0	-1	-1
SLC5A12	1	-2	-1
SLC5A3	1	-5	-4
SLC5A6	0	-3	-3
SLC5A7	1	-1	0
SLC5A8	0	-1	-1
SLC5A9	0	-1	-1
SLC6A1	2	-6	-4
SLC6A11	1	-1	0
SLC6A14	0	-1	-1
SLC6A15	0	-2	-2
SLC6A17	0	-4	-4
SLC6A20	0	-1	-1
SLC6A3	2	-2	0
SLC6A4	0	-1	-1
SLC6A5	2	-3	-1
SLC6A6	4	-4	0
SLC6A8	0	-2	-2
SLC6A9	0	-2	-2
SLC7A1	2	-3	-1
SLC7A11	1	-2	-1
SLC7A14	1	-4	-3
SLC7A2	2	-2	0
SLC7A6	1	-2	-1
SLC7A6OS	1	0	1
SLC7A8	2	-1	1
SLC8A1	1	-12	-11
SLC8A2	1	-2	-1
SLC8B1	0	-2	-2
SLC9A1	0	-2	-2
SLC9A2	0	-4	-4
SLC9A3R2	0	-1	-1
SLC9A5	1	0	1
SLC9A6	0	-4	-4
SLC9A7	1	-3	-2
SLC9A9	0	-1	-1
SLCO1A2	2	-1	1
SLCO1C1	1	0	1
SLCO2A1	0	-1	-1
SLCO2B1	1	-1	0
SLCO3A1	2	-3	-1
SLCO4C1	1	0	1
SLCO5A1	1	-4	-3
SLFN12	0	-1	-1
SLFN5	1	-1	0
SLFNL1	0	-1	-1
SLIT1	1	-2	-1
SLIT2	0	-2	-2
SLIT3	1	-2	-1
SLITRK1	0	-2	-2
SLITRK2	1	0	1
SLITRK3	0	-7	-7
SLITRK4	2	-2	0
SLITRK5	1	-1	0
SLITRK6	0	-1	-1
SLK	1	-4	-3
SLMAP	1	-2	-1
SLMO1	1	0	1
SLMO2	1	-2	-1
SLN	0	-1	-1
SLTM	1	-3	-2
SLX4	0	-2	-2
SLX4IP	0	-2	-2
SMAD1	2	0	2
SMAD2	2	-8	-6
SMAD3	1	0	1
SMAD4	1	-1	0
SMAD5	1	-6	-5
SMAD6	1	-4	-3
SMAD7	0	-5	-5
SMAD9	1	-3	-2
SMAGP	0	-1	-1
SMAP2	0	-1	-1
SMARCA1	1	-1	0
SMARCA2	1	-1	0
SMARCA5	0	-4	-4
SMARCAD1	0	-2	-2
SMARCC1	0	-1	-1
SMARCC2	0	-1	-1
SMARCD1	1	0	1
SMARCD2	0	-1	-1
SMARCE1	1	-2	-1
SMC1A	2	-3	-1
SMC3	0	-1	-1
SMC6	0	-1	-1
SMCHD1	0	-1	-1
SMCO3	1	0	1
SMCR8	2	0	2
SMDT1	1	0	1
SMEK1	0	-1	-1
SMEK2	0	-2	-2
SMG1	1	-4	-3
SMG6	1	0	1
SMG7	1	-1	0
SMIM12	1	-5	-4
SMIM13	1	-1	0
SMIM14	1	-2	-1
SMIM15	1	-1	0
SMIM17	0	-3	-3
SMIM2	0	-2	-2
SMIM21	0	-1	-1
SMIM3	1	-1	0
SMIM6	1	-1	0
SMIM7	1	0	1
SMIM8	0	-2	-2
SMKR1	1	0	1
SMNDC1	0	-4	-4
SMO	0	-1	-1
SMOC1	1	-4	-3
SMOC2	0	-3	-3
SMPD3	1	-3	-2
SMPX	0	-2	-2
SMS	1	-2	-1
SMTNL2	1	-4	-3
SMUG1	2	-1	1
SMURF1	0	-5	-5
SMURF2	1	-7	-6
SMYD1	1	-1	0
SMYD2	0	-1	-1
SMYD5	0	-1	-1
SNAI1	1	0	1
SNAP23	0	-2	-2
SNAP25	1	-4	-3
SNAP29	1	-1	0
SNAP91	0	-1	-1
SNAPC2	0	-1	-1
SNAPC3	0	-1	-1
SNAPC5	0	-1	-1
SNCAIP	0	-1	-1
SNCB	0	-3	-3
SND1	1	-2	-1
SNED1	1	-1	0
SNF8	0	-1	-1
SNIP1	0	-3	-3
SNN	1	-3	-2
SNPH	2	-2	0
SNRK	1	-4	-3
SNRNP25	0	-1	-1
SNRPB	0	-1	-1
SNRPC	0	-2	-2
SNRPD3	1	0	1
SNTB1	0	-3	-3
SNTB2	0	-7	-7
SNUPN	0	-1	-1
SNX1	1	-1	0
SNX10	1	0	1
SNX11	0	-6	-6
SNX12	1	-4	-3
SNX13	1	-2	-1
SNX16	2	-4	-2
SNX18	0	-7	-7
SNX19	2	-1	1
SNX2	0	-3	-3
SNX21	1	-1	0
SNX24	1	-2	-1
SNX25	0	-1	-1
SNX27	2	-5	-3
SNX29	1	-3	-2
SNX3	1	-1	0
SNX30	3	-5	-2
SNX33	1	-3	-2
SNX4	0	-1	-1
SNX5	0	-2	-2
SNX6	2	-1	1
SNX7	1	0	1
SNX9	1	-2	-1
SOAT1	2	-2	0
SOBP	2	-4	-2
SOCS1	1	-2	-1
SOCS2	3	-3	0
SOCS3	0	-1	-1
SOCS4	0	-2	-2
SOCS5	1	-3	-2
SOCS6	0	-8	-8
SOCS7	1	-7	-6
SOD1	0	-1	-1
SOGA1	1	-1	0
SOGA3	2	-1	1
SOHLH2	0	-1	-1
SON	3	0	3
SORBS1	1	-1	0
SORBS2	0	-1	-1
SORBS3	1	0	1
SORCS1	3	-5	-2
SORCS2	2	-1	1
SORD	1	-1	0
SORL1	1	-7	-6
SORT1	2	-2	0
SOS1	1	-6	-5
SOS2	2	-2	0
SOST	0	-2	-2
SOSTDC1	1	-2	-1
SOWAHA	0	-2	-2
SOWAHB	0	-2	-2
SOWAHC	1	-4	-3
SOWAHD	0	-1	-1
SOX1	2	-1	1
SOX11	1	-6	-5
SOX12	3	-2	1
SOX13	0	-3	-3
SOX14	1	-1	0
SOX17	2	0	2
SOX18	0	-2	-2
SOX21	0	-4	-4
SOX4	3	-7	-4
SOX5	4	-8	-4
SOX6	1	-8	-7
SOX7	0	-1	-1
SOX8	0	-1	-1
SOX9	1	0	1
SP1	2	-8	-6
SP100	1	0	1
SP2	2	-2	0
SP3	2	-3	-1
SP4	1	-6	-5
SP5	1	0	1
SP6	1	-1	0
SP7	1	0	1
SP8	1	-2	-1
SP9	2	-2	0
SPA17	1	0	1
SPAG1	2	0	2
SPAG16	1	0	1
SPAG6	1	0	1
SPAG7	0	-1	-1
SPAG9	1	-1	0
SPARC	0	-1	-1
SPAST	1	-2	-1
SPATA13	0	-1	-1
SPATA17	0	-1	-1
SPATA18	0	-1	-1
SPATA2	1	-5	-4
SPATA33	0	-1	-1
SPATA5	0	-1	-1
SPATA6	0	-1	-1
SPATA9	1	-1	0
SPATC1	0	-1	-1
SPATS2L	1	-3	-2
SPCS2	1	0	1
SPCS3	1	-2	-1
SPECC1	0	-1	-1
SPECC1L	1	-2	-1
SPEG	1	-2	-1
SPEN	2	-3	-1
SPG20	1	-1	0
SPHK2	0	-2	-2
SPHKAP	0	-1	-1
SPI1	1	-1	0
SPIN1	1	-3	-2
SPINK5	1	-1	0
SPINT1	1	0	1
SPIRE1	2	-1	1
SPNS1	1	-1	0
SPNS2	0	-1	-1
SPOCD1	1	-1	0
SPOCK1	0	-1	-1
SPOCK2	2	0	2
SPOCK3	0	-3	-3
SPON2	0	-1	-1
SPOP	1	0	1
SPOPL	1	-4	-3
SPP2	0	-1	-1
SPPL2A	0	-4	-4
SPPL3	0	-4	-4
SPR	0	-2	-2
SPRED1	0	-11	-11
SPRED2	0	-4	-4
SPRED3	1	-3	-2
SPRR2A	1	0	1
SPRR2B	1	0	1
SPRR2D	1	0	1
SPRR3	0	-1	-1
SPRR4	0	-1	-1
SPRTN	0	-1	-1
SPRY1	0	-3	-3
SPRY2	0	-2	-2
SPRY3	1	-3	-2
SPRY4	2	-3	-1
SPRYD3	1	-2	-1
SPRYD4	0	-1	-1
SPSB1	1	0	1
SPSB2	0	-1	-1
SPSB4	0	-3	-3
SPTAN1	0	-1	-1
SPTBN1	3	-2	1
SPTBN2	1	-2	-1
SPTBN4	0	-3	-3
SPTLC1	0	-2	-2
SPTLC2	2	0	2
SPTLC3	0	-2	-2
SPTSSA	1	-4	-3
SPTSSB	0	-1	-1
SPTY2D1	0	-4	-4
SQLE	0	-1	-1
SQSTM1	0	-1	-1
SRBD1	1	0	1
SRC	1	-1	0
SRCAP	0	-1	-1
SRCIN1	1	-4	-3
SRCRB4D	0	-2	-2
SRD5A1	0	-1	-1
SRD5A3	1	0	1
SREBF1	1	-2	-1
SREBF2	0	-1	-1
SREK1	1	-5	-4
SRF	2	0	2
SRGAP1	2	-6	-4
SRGAP2	2	-3	-1
SRGAP3	3	-8	-5
SRI	2	-2	0
SRL	1	-2	-1
SRM	1	-1	0
SRP68	0	-1	-1
SRP72	0	-2	-2
SRPK1	1	-2	-1
SRPK2	0	-2	-2
SRPR	0	-2	-2
SRPRB	0	-1	-1
SRPX2	1	-2	-1
SRR	0	-1	-1
SRRD	2	-1	1
SRRM2	1	-1	0
SRRM3	1	0	1
SRRM4	2	-2	0
SRSF1	1	-4	-3
SRSF10	2	-8	-6
SRSF11	1	-5	-4
SRSF12	0	-1	-1
SRSF2	1	-3	-2
SRSF3	1	-1	0
SRSF4	0	-1	-1
SRSF6	0	-4	-4
SRSF7	0	-2	-2
SRSF9	0	-1	-1
SRXN1	1	-1	0
SS18	1	-3	-2
SS18L1	1	-3	-2
SSBP2	1	-4	-3
SSBP3	2	-2	0
SSBP3-AS1	1	0	1
SSFA2	0	-1	-1
SSH1	2	-5	-3
SSH2	0	-1	-1
SSH3	1	-1	0
SSPN	1	-1	0
SSR1	1	-3	-2
SSR3	0	-1	-1
SSSCA1	0	-2	-2
SSTR1	1	-2	-1
SSTR2	2	-2	0
SSTR3	1	-2	-1
SSTR5	1	-1	0
SSUH2	1	0	1
SSX2IP	1	-4	-3
ST13	0	-2	-2
ST14	0	-1	-1
ST18	1	-6	-5
ST20-MTHFS	0	-1	-1
ST3GAL1	1	-1	0
ST3GAL3	1	-2	-1
ST6GAL1	0	-1	-1
ST6GAL2	1	-4	-3
ST6GALNAC2	0	-1	-1
ST6GALNAC3	0	-4	-4
ST6GALNAC4	0	-1	-1
ST6GALNAC5	2	-2	0
ST6GALNAC6	3	-1	2
ST7L	1	0	1
ST8SIA1	1	-3	-2
ST8SIA2	2	-3	-1
ST8SIA3	1	-3	-2
ST8SIA4	0	-6	-6
ST8SIA5	1	-2	-1
ST8SIA6	0	-1	-1
STAB2	0	-2	-2
STAC	0	-2	-2
STAC2	1	-1	0
STAG1	1	-3	-2
STAG2	1	-3	-2
STAM	1	-1	0
STAM2	1	-3	-2
STAMBP	0	-1	-1
STAMBPL1	0	-1	-1
STARD10	1	0	1
STARD13	2	-4	-2
STARD3NL	0	-2	-2
STARD4	0	-1	-1
STARD5	1	-1	0
STARD7	1	-1	0
STARD8	0	-1	-1
STARD9	0	-1	-1
STAT1	2	-3	-1
STAT3	0	-5	-5
STAT4	1	0	1
STAT5A	0	-1	-1
STAT5B	1	0	1
STAU1	0	-1	-1
STAU2	1	-3	-2
STC1	1	-5	-4
STC2	1	0	1
STEAP3	1	-1	0
STIM1	1	-1	0
STIM2	1	-5	-4
STK11	0	-1	-1
STK11IP	1	-1	0
STK16	0	-1	-1
STK17B	0	-2	-2
STK19	1	0	1
STK24	0	-2	-2
STK25	1	0	1
STK32A	0	-3	-3
STK32B	2	-2	0
STK32C	1	0	1
STK33	0	-3	-3
STK35	2	-3	-1
STK36	0	-1	-1
STK38	0	-4	-4
STK38L	2	-1	1
STK39	0	-1	-1
STK4	1	-1	0
STK40	1	-5	-4
STMN1	1	0	1
STMN2	0	-1	-1
STMN3	1	0	1
STOM	2	-1	1
STOML1	1	0	1
STOML3	1	0	1
STON1	1	-1	0
STON2	1	-4	-3
STOX2	2	-8	-6
STPG1	1	0	1
STRADA	1	0	1
STRADB	0	-1	-1
STRAP	1	0	1
STRBP	1	-7	-6
STRIP1	1	-1	0
STRIP2	1	-2	-1
STRN	1	-8	-7
STRN3	1	-4	-3
STRN4	0	-2	-2
STT3B	2	-3	-1
STX10	0	-1	-1
STX16	2	-3	-1
STX17	1	-4	-3
STX18	1	-1	0
STX1A	0	-1	-1
STX1B	1	-3	-2
STX3	2	-4	-2
STX4	1	0	1
STX5	1	0	1
STX6	1	-3	-2
STX7	2	-3	-1
STXBP1	0	-3	-3
STXBP3	0	-1	-1
STXBP4	1	-1	0
STXBP5	1	-5	-4
STXBP5L	1	-2	-1
STXBP6	1	-1	0
STYK1	0	-2	-2
STYX	0	-8	-8
STYXL1	0	-1	-1
SUB1	2	-1	1
SUCLG1	1	0	1
SUCLG2	1	0	1
SUCNR1	1	0	1
SUCO	0	-5	-5
SUFU	1	-1	0
SUGT1	1	-1	0
SULF1	1	-3	-2
SUMF1	0	-2	-2
SUMF2	1	0	1
SUMO1	1	-1	0
SUMO3	0	-1	-1
SUN1	1	0	1
SUN2	0	-2	-2
SUPT16H	1	-3	-2
SUPT20H	1	-1	0
SUPT3H	2	-2	0
SUPT6H	1	0	1
SUPT7L	1	0	1
SURF4	2	-1	1
SUSD1	1	-1	0
SUV39H1	1	-2	-1
SUV39H2	0	-1	-1
SUV420H1	2	-6	-4
SUV420H2	1	-1	0
SUZ12	0	-3	-3
SV2A	1	-7	-6
SV2B	1	0	1
SV2C	2	-4	-2
SVEP1	1	0	1
SVIL	0	-1	-1
SVIP	1	0	1
SWAP70	1	0	1
SWT1	0	-3	-3
SYAP1	3	-1	2
SYBU	0	-1	-1
SYCP1	0	-1	-1
SYDE1	0	-2	-2
SYDE2	1	-2	-1
SYF2	0	-1	-1
SYK	1	0	1
SYNC	1	0	1
SYNCRIP	1	-5	-4
SYNDIG1	0	-5	-5
SYNE1	1	-1	0
SYNE2	0	-2	-2
SYNE3	0	-1	-1
SYNGAP1	0	-3	-3
SYNGR1	1	-2	-1
SYNGR2	1	-1	0
SYNGR3	1	-1	0
SYNJ1	3	-3	0
SYNJ2BP	1	-2	-1
SYNM	2	-4	-2
SYNPO2	1	0	1
SYNPO2L	2	0	2
SYNPR	2	0	2
SYNRG	1	-3	-2
SYP	0	-2	-2
SYPL1	0	-1	-1
SYPL2	1	-1	0
SYS1	1	-3	-2
SYT1	3	-6	-3
SYT10	1	0	1
SYT11	1	-1	0
SYT13	0	-1	-1
SYT14	1	-3	-2
SYT2	3	-7	-4
SYT3	0	-1	-1
SYT4	1	-1	0
SYT6	1	-3	-2
SYT7	3	-5	-2
SYT9	1	-3	-2
SYTL2	1	-1	0
SYTL4	0	-4	-4
SYTL5	0	-1	-1
SZRD1	2	-5	-3
SZT2	2	0	2
TAB1	1	-1	0
TAB2	1	-3	-2
TAB3	2	-2	0
TAC1	0	-1	-1
TACC1	0	-3	-3
TACC2	0	-1	-1
TACR1	1	0	1
TACR2	1	-1	0
TACR3	2	0	2
TADA1	0	-1	-1
TADA2A	1	-1	0
TADA2B	0	-5	-5
TAF1	1	-1	0
TAF10	1	0	1
TAF11	0	-1	-1
TAF12	0	-2	-2
TAF13	0	-1	-1
TAF15	0	-1	-1
TAF1D	2	-1	1
TAF2	1	0	1
TAF3	2	-1	1
TAF4	1	-4	-3
TAF4B	1	-2	-1
TAF5	0	-2	-2
TAF7L	1	0	1
TAF8	0	-2	-2
TAF9B	0	-1	-1
TAGAP	0	-1	-1
TAGLN2	1	0	1
TAL1	1	-5	-4
TAL2	1	-2	-1
TALDO1	1	0	1
TANC1	2	-2	0
TANC2	1	-6	-5
TAOK1	3	-5	-2
TAOK2	1	-1	0
TAOK3	0	-2	-2
TAP2	1	0	1
TAPBP	0	-1	-1
TARBP1	0	-1	-1
TARBP2	0	-1	-1
TARDBP	2	-5	-3
TARS2	1	0	1
TAS1R1	0	-1	-1
TAS2R4	0	-1	-1
TAS2R5	1	-1	0
TATDN2	1	-1	0
TAZ	1	0	1
TBC1D1	1	-1	0
TBC1D10B	1	-2	-1
TBC1D12	0	-4	-4
TBC1D13	1	-3	-2
TBC1D14	0	-2	-2
TBC1D15	0	-5	-5
TBC1D16	1	-2	-1
TBC1D19	1	-2	-1
TBC1D20	0	-3	-3
TBC1D22A	1	-1	0
TBC1D22B	1	-1	0
TBC1D23	1	0	1
TBC1D24	1	-1	0
TBC1D25	0	-1	-1
TBC1D2B	0	-2	-2
TBC1D30	2	-4	-2
TBC1D31	1	0	1
TBC1D32	0	-1	-1
TBC1D4	0	-3	-3
TBC1D5	1	-1	0
TBC1D7	0	-1	-1
TBC1D8	0	-1	-1
TBC1D8B	3	-2	1
