Human Gene Symbol	Effect	DFn	DFd	F	P Value	Significance	ges
TIPARP	Sex	1	874	0.3220	0.5710		0.0004
TIPARP	Tissue	11	874	19.5530	0.0000	*	0.1970
TIPARP	Sex:Tissue	11	874	0.7400	0.7000		0.0090
TTLL1	Sex	1	874	2.8780	0.0900		0.0030
TTLL1	Tissue	11	874	40.1730	0.0000	*	0.3360
TTLL1	Sex:Tissue	11	874	0.5520	0.8670		0.0070
USP46	Sex	1	874	3.9740	0.0470	*	0.0050
USP46	Tissue	11	874	72.0580	0.0000	*	0.4760
USP46	Sex:Tissue	11	874	0.5580	0.8640		0.0070
VIM	Sex	1	874	0.4710	0.4930		0.0005
VIM	Tissue	11	874	12.6370	0.0000	*	0.1370
VIM	Sex:Tissue	11	874	0.2340	0.9950		0.0030
